SUM of Total Inmates in Census since 1997,,,288697,,,,,,,
DMAX number of Inmates Sentenced since 1997,,,573,,,,,,,
DAVERAGE number of Inmates in Census in 2014,,,247.8085837,,,,,,,
DVARP of Other Unsentenced Inmates since 1997,,,318.0657297,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Facility Name,Year,Census,Sentenced,Civil,Federal,Technical Parole Violators,State Readies,Other Unsentenced,Boarded Out,Boarded In
Essex County Penitentiary,2010,75,14,0,36,1,0,23,0,4
Essex County Sheriff,2010,0,0,0,0,0,0,0,0,0
Franklin County Penitentiary,2010,107,29,3,0,4,0,71,7,0
Fulton County Penitentiary,2010,84,23,2,0,4,1,54,1,9
Genesee County Penitentiary,2010,66,24,1,1,8,1,30,11,0
Greene County Penitentiary,2010,51,14,2,0,4,1,30,26,0
Hamilton County Penitentiary,2010,2,1,0,0,0,0,1,0,0
Herkimer County Penitentiary,2010,29,6,0,0,1,1,21,26,0
Jefferson County Penitentiary,2010,142,25,1,0,6,2,107,27,0
Lewis County Penitentiary,2010,32,6,1,5,0,0,20,0,5
Livingston County Penitentiary,2010,91,29,0,0,6,2,54,13,3
Madison County Penitentiary,2010,88,40,5,4,2,1,38,1,4
Monroe County Correctional Facility,2010,353,270,0,1,1,1,80,0,8
Monroe County Penitentiary,2010,1058,207,1,92,84,23,651,3,3
Montgomery County Penitentiary,2010,121,33,2,7,5,2,72,0,6
Nassau County Correctional Facility,2010,1609,237,1,128,21,10,1213,6,8
Niagara County Penitentiary,2010,469,136,0,82,15,13,223,0,1
Oneida County Penitentiary,2010,437,159,0,33,8,5,231,0,26
Onondaga County Correctional Facility,2010,469,321,7,77,54,0,11,27,1
Onondaga County Penitentiary,2010,621,28,3,5,2,13,571,1,41
Ontario County Penitentiary,2010,197,83,0,3,7,5,100,1,1
Orange County Penitentiary,2010,609,144,7,116,38,8,297,4,7
Orleans County Penitentiary,2010,76,27,0,0,5,0,43,0,3
Oswego County Penitentiary,2010,135,60,1,0,6,4,64,2,0
Otsego County Penitentiary,2010,68,26,0,0,2,1,39,1,0
Putnam County Penitentiary,2010,103,17,1,4,1,1,77,3,4
Rensselaer County Penitentiary,2010,229,89,6,13,17,3,100,1,12
Rockland County Penitentiary,2010,213,52,0,2,10,2,147,0,1
Saratoga County Penitentiary,2010,164,47,2,0,5,1,108,0,0
Schenectady County Penitentiary,2010,284,48,5,0,23,5,202,2,0
Schoharie County Penitentiary,2010,50,14,2,8,1,1,23,5,23
Schuyler County Penitentiary,2010,19,8,0,0,1,0,11,2,0
Seneca County Penitentiary,2010,83,28,2,19,2,0,31,0,1
Steuben County Penitentiary,2010,169,41,0,45,7,1,73,0,2
St Lawrence County Penitentiary,2010,133,38,0,0,6,2,87,0,8
Suffolk Correctional Facility - Riverhead,2010,1029,239,7,2,45,23,713,77,8
Suffolk Correctional Facility - Yaphank,2010,606,185,4,0,39,0,378,0,0
Sullivan County Penitentiary,2010,162,37,0,0,10,2,114,9,0
Tioga County Penitentiary,2010,84,34,1,18,4,1,26,1,6
Tompkins County Penitentiary,2010,79,34,0,0,3,2,41,3,0
Ulster County Penitentiary,2010,332,102,0,9,16,6,199,0,31
Warren County Penitentiary,2010,154,36,3,0,6,2,107,0,26
